architecture,architecture_label,target,target_label,fold,condition,accuracy,recall,f1,mcc,auc,aupr,c0,c1,c2,c3,c4,true_probability,logit_margin,stage2_macro_recall
no_conv,NoConv,3,L3,fold02,maximum,68.90391428324548,70.43105720395207,68.20531132159039,52.50642256417892,79.1822914538155,67.34447317312677,82.08955223880598,72.49493927125506,75.0,60.77037351443124,79.08834586466165,62.28625774383545,1.929339699447155,70.78455288344932
no_conv,NoConv,3,L3,fold02,attention_shuffle,68.19968893113281,69.8934227953499,67.51792727706349,51.55419038964104,78.6068509493237,66.91709848109019,82.08955223880598,72.49493927125506,75.0,59.15747028862479,79.08834586466165,61.73519790172577,1.8976654335856438,70.24691847484716
no_conv,NoConv,3,L3,fold02,attention_zero,68.19968893113281,69.8934227953499,67.4411228581538,51.70553735722413,78.6367860274764,66.84387199440177,82.08955223880598,72.49493927125506,75.0,59.15747028862479,79.08834586466165,61.765481531620026,1.8980917632579803,70.24691847484716
no_conv,NoConv,3,L3,fold02,random_window,68.94532532619027,70.54355720395206,68.28804774375016,52.581991365825644,79.1944157620566,67.37873283496701,82.08955223880598,72.49493927125505,75.675,60.77037351443123,79.08834586466162,62.30794267356396,1.930613282173872,70.78455288344935
no_conv,NoConv,5,L5,fold02,baseline,68.19968893113281,69.8934227953499,67.4411228581538,51.70553735722413,78.58953128932859,66.65361712021169,82.08955223880598,72.49493927125506,75.0,59.15747028862479,79.08834586466165,61.772458255290985,1.8985433876514435,70.24691847484716
no_conv,NoConv,5,L5,fold02,maximum,66.79123822690747,67.51247041439753,65.70513246139276,48.98779123792399,77.24548504234389,65.88850513838355,82.08955223880598,72.49493927125506,75.0,59.15747028862479,71.94548872180451,61.092571914196014,1.8623135536909103,67.86596609389478
no_conv,NoConv,5,L5,fold02,attention_shuffle,64.73472738270112,66.72926239434742,64.96733245253432,46.072846942997494,77.91322844074135,65.98829239526667,82.08955223880598,66.57388663967612,75.0,53.23641765704585,69.59586466165413,59.185145795345306,1.6990599185228348,63.135389652792036
no_conv,NoConv,5,L5,fold02,attention_zero,68.04631469800397,69.78377367254289,67.32456606320233,51.45777157249954,78.31395242200284,66.13213635726673,82.08955223880598,72.16599190283401,75.0,58.82852292020374,78.7593984962406,61.153529584407806,1.8504900224506855,69.91797110642612
no_conv,NoConv,5,L5,fold02,random_window,66.50749589561912,67.30961953720455,65.43049285697255,48.54649818135328,77.21744719232647,65.84929452610771,82.08955223880598,71.8863866396761,75.0,58.548917657045834,71.33693609022556,60.95425592362881,1.8579148780554533,67.25741346231584
no_conv,NoConv,2,L2,fold03,baseline,66.26846971398946,65.82789760687412,63.46786771201124,47.56152696482536,78.02511662553653,67.9145168484382,80.59701492537313,76.56882591093117,87.5,58.76485568760611,50.46992481203007,57.857200503349304,1.160416029393673,61.93453547018911
no_conv,NoConv,2,L2,fold03,maximum,64.88810161582995,64.84105550161095,62.48335058661145,45.66588620378003,77.02902345071028,66.54459962437926,80.59701492537313,73.6082995951417,87.5,55.804329371816635,47.5093984962406,56.7381277680397,1.0514284204691648,58.974009154399646
no_conv,NoConv,2,L2,fold03,attention_shuffle,61.667242720124435,62.64181515508708,58.76064867760425,42.00623688988912,76.25938705930321,65.53076946683322,80.59701492537313,68.62348178137651,87.5,47.28353140916808,40.6015037593985,53.76687049865723,0.8405150733888149,52.16950564998103
no_conv,NoConv,2,L2,fold03,attention_zero,65.5015985483453,65.27965199283904,62.64350667803353,46.50305315394429,77.41625574281035,66.78579185318728,80.59701492537313,74.92408906882591,87.5,57.12011884550085,48.82518796992481,57.134538888931274,1.0710765942931175,60.28979862808385
no_conv,NoConv,2,L2,fold03,random_window,65.10129179987902,64.99346778231273,62.691001359513784,45.96799649486308,76.96631620539114,66.41826968184876,80.59701492537316,74.06553643724696,87.5,56.261566213921895,47.96663533834586,56.890581890940666,1.0600238121114671,59.43124599650491
no_conv,NoConv,3,L3,fold03,baseline,66.26846971398946,65.82789760687412,63.46786771201124,47.56152696482536,78.02511662553653,67.9145168484382,80.59701492537313,76.56882591093117,87.5,58.76485568760611,50.46992481203007,57.857200503349304,1.160416029393673,61.93453547018911
no_conv,NoConv,3,L3,fold03,maximum,66.4218439471183,66.24456427354079,63.70825103224692,47.66283298123131,77.58927693899709,67.80716159925879,80.59701492537313,76.56882591093117,90.0,58.76485568760611,50.46992481203007,57.86099582910538,1.122039245441556,61.93453547018911
