comparison_id,comparison_label,comparison_family,stage,true_class,true_label,predicted_class,predicted_label,row_n,baseline_count,intervention_count,baseline_row_percent,intervention_row_percent,delta_row_pp
structure_no_conv,Full vs NoConv,structural_ablation,run1,1,Gate: L2/L4/L5,1,Gate: L2/L4/L5,456,388,351,85.08771929824562,76.97368421052632,-8.114035087719298
structure_no_conv,Full vs NoConv,structural_ablation,run1,1,Gate: L2/L4/L5,2,L3 Hesitating,456,6,26,1.3157894736842106,5.701754385964913,4.385964912280702
structure_no_conv,Full vs NoConv,structural_ablation,run1,2,L3 Hesitating,0,L1 Hole exploration,121,11,9,9.090909090909092,7.43801652892562,-1.6528925619834711
structure_no_conv,Full vs NoConv,structural_ablation,run1,2,L3 Hesitating,1,Gate: L2/L4/L5,121,22,17,18.181818181818183,14.049586776859504,-4.132231404958677
structure_no_conv,Full vs NoConv,structural_ablation,run1,2,L3 Hesitating,2,L3 Hesitating,121,88,95,72.72727272727273,78.51239669421487,5.785123966942149
structure_no_lstm,Full vs NoLSTM,structural_ablation,run1,0,L1 Hole exploration,0,L1 Hole exploration,402,328,307,81.59203980099502,76.3681592039801,-5.223880597014926
structure_no_lstm,Full vs NoLSTM,structural_ablation,run1,0,L1 Hole exploration,1,Gate: L2/L4/L5,402,68,83,16.915422885572138,20.64676616915423,3.7313432835820897
structure_no_lstm,Full vs NoLSTM,structural_ablation,run1,0,L1 Hole exploration,2,L3 Hesitating,402,6,12,1.492537313432836,2.985074626865672,1.492537313432836
structure_no_lstm,Full vs NoLSTM,structural_ablation,run1,1,Gate: L2/L4/L5,0,L1 Hole exploration,456,62,87,13.596491228070175,19.07894736842105,5.482456140350878
structure_no_lstm,Full vs NoLSTM,structural_ablation,run1,1,Gate: L2/L4/L5,1,Gate: L2/L4/L5,456,388,350,85.08771929824562,76.75438596491227,-8.333333333333334
structure_no_lstm,Full vs NoLSTM,structural_ablation,run1,1,Gate: L2/L4/L5,2,L3 Hesitating,456,6,19,1.3157894736842106,4.166666666666667,2.8508771929824563
structure_no_lstm,Full vs NoLSTM,structural_ablation,run1,2,L3 Hesitating,0,L1 Hole exploration,121,11,12,9.090909090909092,9.917355371900827,0.8264462809917356
