comparison_id,comparison_label,comparison_family,target_label,intervention_condition,baseline_architecture,intervention_architecture,stage,scope,class_id,class_label,n,CC,CW,WC,WW,baseline_correct_n,baseline_wrong_n,damage_rate_percent,recovery_rate_percent,net_correct_change,baseline_accuracy_percent,intervention_accuracy_percent,accuracy_delta_pp,discordant_n,mcnemar_exact_p,mcnemar_bh_q
structure_no_conv,Full vs NoConv,structural_ablation,,baseline,full,no_conv,run1,overall,-1,All stage samples,979,687,117,86,89,804,175,14.552238805970148,49.142857142857146,-31,82.12461695607763,78.95812053115424,-3.166496424923391,203,0.034981310196697535,0.20477450812364859
structure_no_conv,Full vs NoConv,structural_ablation,,baseline,full,no_conv,run1,true_class,0,L1 Hole exploration,402,286,42,41,33,328,74,12.804878048780488,55.4054054054054,-1,81.59203980099502,81.34328358208955,-0.24875621890547264,83,1.0,1.0
structure_no_conv,Full vs NoConv,structural_ablation,,baseline,full,no_conv,run1,true_class,1,Gate: L2/L4/L5,456,321,67,30,38,388,68,17.2680412371134,44.11764705882353,-37,85.08771929824562,76.97368421052632,-8.114035087719298,97,0.00021890976301036633,0.004086315576193505
structure_no_conv,Full vs NoConv,structural_ablation,,baseline,full,no_conv,run1,true_class,2,L3 Hesitating,121,80,8,15,18,88,33,9.090909090909092,45.45454545454545,7,72.72727272727273,78.51239669421487,5.785123966942149,23,0.21003961563110352,0.875
structure_no_lstm,Full vs NoLSTM,structural_ablation,,baseline,full,no_lstm,run1,overall,-1,All stage samples,979,663,141,79,96,804,175,17.53731343283582,45.142857142857146,-62,82.12461695607763,75.79162410623084,-6.332992849846782,220,3.501547036804003e-05,0.0008038893213011989
structure_no_lstm,Full vs NoLSTM,structural_ablation,,baseline,full,no_lstm,run1,true_class,0,L1 Hole exploration,402,275,53,32,42,328,74,16.158536585365855,43.24324324324324,-21,81.59203980099502,76.3681592039801,-5.223880597014926,85,0.029456361785778883,0.20477450812364859
structure_no_lstm,Full vs NoLSTM,structural_ablation,,baseline,full,no_lstm,run1,true_class,1,Gate: L2/L4/L5,456,315,73,35,33,388,68,18.814432989690722,51.470588235294116,-38,85.08771929824562,76.75438596491227,-8.333333333333334,108,0.00032583856112748064,0.00521341697803969
structure_no_lstm,Full vs NoLSTM,structural_ablation,,baseline,full,no_lstm,run1,true_class,2,L3 Hesitating,121,73,15,12,21,88,33,17.045454545454547,36.36363636363637,-3,72.72727272727273,70.24793388429752,-2.479338842975207,27,0.7011080384254456,1.0
structure_no_attention,Full vs NoAttention,structural_ablation,,baseline,full,no_attention,run1,overall,-1,All stage samples,979,711,93,99,76,804,175,11.567164179104477,56.57142857142857,6,82.12461695607763,82.73748723186925,0.6128702757916241,192,0.7183188542176949,1.0
structure_no_attention,Full vs NoAttention,structural_ablation,,baseline,full,no_attention,run1,true_class,0,L1 Hole exploration,402,293,35,40,34,328,74,10.670731707317072,54.054054054054056,5,81.59203980099502,82.83582089552239,1.243781094527363,75,0.6444639138942256,1.0
structure_no_attention,Full vs NoAttention,structural_ablation,,baseline,full,no_attention,run1,true_class,1,Gate: L2/L4/L5,456,340,48,45,23,388,68,12.371134020618557,66.17647058823529,-3,85.08771929824562,84.4298245614035,-0.6578947368421053,93,0.8358461346314862,1.0
structure_no_attention,Full vs NoAttention,structural_ablation,,baseline,full,no_attention,run1,true_class,2,L3 Hesitating,121,78,10,14,19,88,33,11.363636363636363,42.42424242424242,4,72.72727272727273,76.03305785123968,3.3057851239669422,24,0.5412561893463135,1.0
mask_max_L1,Maximum mask L1,input_mask,1.0,maximum,full,full,run2,overall,-1,All stage samples,214,138,6,3,67,144,70,4.166666666666667,4.285714285714286,-3,67.28971962616822,65.88785046728972,-1.4018691588785046,9,0.5078125,1.0
mask_max_L1,Maximum mask L1,input_mask,1.0,maximum,full,full,run2,true_class,0,L2 Wrong hole,79,61,2,1,15,63,16,3.1746031746031744,6.25,-1,79.74683544303798,78.48101265822785,-1.2658227848101267,3,1.0,1.0
mask_max_L1,Maximum mask L1,input_mask,1.0,maximum,full,full,run2,true_class,1,L4 Changing direction,93,59,3,1,30,62,31,4.838709677419355,3.225806451612903,-2,66.66666666666667,64.51612903225806,-2.150537634408602,4,0.625,1.0
mask_max_L1,Maximum mask L1,input_mask,1.0,maximum,full,full,run2,true_class,2,L5 Walking,42,18,1,1,22,19,23,5.2631578947368425,4.3478260869565215,0,45.23809523809524,45.23809523809524,0.0,2,1.0,1.0
mask_max_L2,Maximum mask L2,input_mask,2.0,maximum,full,full,run2,overall,-1,All stage samples,214,142,2,3,67,144,70,1.3888888888888888,4.285714285714286,1,67.28971962616822,67.75700934579439,0.4672897196261682,5,1.0,1.0
mask_max_L2,Maximum mask L2,input_mask,2.0,maximum,full,full,run2,true_class,0,L2 Wrong hole,79,61,2,3,13,63,16,3.1746031746031744,18.75,1,79.74683544303798,81.0126582278481,1.2658227848101267,5,1.0,1.0
mask_max_L2,Maximum mask L2,input_mask,2.0,maximum,full,full,run2,true_class,1,L4 Changing direction,93,62,0,0,31,62,31,0.0,0.0,0,66.66666666666667,66.66666666666667,0.0,0,1.0,1.0
mask_max_L2,Maximum mask L2,input_mask,2.0,maximum,full,full,run2,true_class,2,L5 Walking,42,19,0,0,23,19,23,0.0,0.0,0,45.23809523809524,45.23809523809524,0.0,0,1.0,1.0
mask_max_L3,Maximum mask L3,input_mask,3.0,maximum,full,full,run2,overall,-1,All stage samples,214,142,2,0,70,144,70,1.3888888888888888,0.0,-2,67.28971962616822,66.35514018691589,-0.9345794392523364,2,0.5,1.0
mask_max_L3,Maximum mask L3,input_mask,3.0,maximum,full,full,run2,true_class,0,L2 Wrong hole,79,63,0,0,16,63,16,0.0,0.0,0,79.74683544303798,79.74683544303798,0.0,0,1.0,1.0
mask_max_L3,Maximum mask L3,input_mask,3.0,maximum,full,full,run2,true_class,1,L4 Changing direction,93,60,2,0,31,62,31,3.225806451612903,0.0,-2,66.66666666666667,64.51612903225806,-2.150537634408602,2,0.5,1.0
mask_max_L3,Maximum mask L3,input_mask,3.0,maximum,full,full,run2,true_class,2,L5 Walking,42,19,0,0,23,19,23,0.0,0.0,0,45.23809523809524,45.23809523809524,0.0,0,1.0,1.0
mask_max_L4,Maximum mask L4,input_mask,4.0,maximum,full,full,run2,overall,-1,All stage samples,214,143,1,2,68,144,70,0.6944444444444444,2.857142857142857,1,67.28971962616822,67.75700934579439,0.4672897196261682,3,1.0,1.0
mask_max_L4,Maximum mask L4,input_mask,4.0,maximum,full,full,run2,true_class,0,L2 Wrong hole,79,62,1,2,14,63,16,1.5873015873015872,12.5,1,79.74683544303798,81.0126582278481,1.2658227848101267,3,1.0,1.0
mask_max_L4,Maximum mask L4,input_mask,4.0,maximum,full,full,run2,true_class,1,L4 Changing direction,93,62,0,0,31,62,31,0.0,0.0,0,66.66666666666667,66.66666666666667,0.0,0,1.0,1.0
mask_max_L4,Maximum mask L4,input_mask,4.0,maximum,full,full,run2,true_class,2,L5 Walking,42,19,0,0,23,19,23,0.0,0.0,0,45.23809523809524,45.23809523809524,0.0,0,1.0,1.0
mask_max_L5,Maximum mask L5,input_mask,5.0,maximum,full,full,run2,overall,-1,All stage samples,214,141,3,0,70,144,70,2.0833333333333335,0.0,-3,67.28971962616822,65.88785046728972,-1.4018691588785046,3,0.25,0.875
mask_max_L5,Maximum mask L5,input_mask,5.0,maximum,full,full,run2,true_class,0,L2 Wrong hole,79,63,0,0,16,63,16,0.0,0.0,0,79.74683544303798,79.74683544303798,0.0,0,1.0,1.0
mask_max_L5,Maximum mask L5,input_mask,5.0,maximum,full,full,run2,true_class,1,L4 Changing direction,93,62,0,0,31,62,31,0.0,0.0,0,66.66666666666667,66.66666666666667,0.0,0,1.0,1.0
mask_max_L5,Maximum mask L5,input_mask,5.0,maximum,full,full,run2,true_class,2,L5 Walking,42,16,3,0,23,19,23,15.789473684210526,0.0,-3,45.23809523809524,38.095238095238095,-7.142857142857143,3,0.25,0.875
attention_zero_L2,Attention zero L2,attention_intervention,2.0,attention_zero,full,full,run2,overall,-1,All stage samples,214,143,1,5,65,144,70,0.6944444444444444,7.142857142857143,4,67.28971962616822,69.1588785046729,1.8691588785046729,6,0.21875,0.875
attention_zero_L2,Attention zero L2,attention_intervention,2.0,attention_zero,full,full,run2,true_class,0,L2 Wrong hole,79,62,1,4,12,63,16,1.5873015873015872,25.0,3,79.74683544303798,83.54430379746836,3.7974683544303796,5,0.375,1.0
attention_zero_L2,Attention zero L2,attention_intervention,2.0,attention_zero,full,full,run2,true_class,1,L4 Changing direction,93,62,0,1,30,62,31,0.0,3.225806451612903,1,66.66666666666667,67.74193548387096,1.075268817204301,1,1.0,1.0
attention_zero_L2,Attention zero L2,attention_intervention,2.0,attention_zero,full,full,run2,true_class,2,L5 Walking,42,19,0,0,23,19,23,0.0,0.0,0,45.23809523809524,45.23809523809524,0.0,0,1.0,1.0
attention_zero_L3,Attention zero L3,attention_intervention,3.0,attention_zero,full,full,run2,overall,-1,All stage samples,214,143,1,0,70,144,70,0.6944444444444444,0.0,-1,67.28971962616822,66.82242990654206,-0.4672897196261682,1,1.0,1.0
attention_zero_L3,Attention zero L3,attention_intervention,3.0,attention_zero,full,full,run2,true_class,0,L2 Wrong hole,79,63,0,0,16,63,16,0.0,0.0,0,79.74683544303798,79.74683544303798,0.0,0,1.0,1.0
attention_zero_L3,Attention zero L3,attention_intervention,3.0,attention_zero,full,full,run2,true_class,1,L4 Changing direction,93,61,1,0,31,62,31,1.6129032258064515,0.0,-1,66.66666666666667,65.59139784946237,-1.075268817204301,1,1.0,1.0
attention_zero_L3,Attention zero L3,attention_intervention,3.0,attention_zero,full,full,run2,true_class,2,L5 Walking,42,19,0,0,23,19,23,0.0,0.0,0,45.23809523809524,45.23809523809524,0.0,0,1.0,1.0
attention_zero_L5,Attention zero L5,attention_intervention,5.0,attention_zero,full,full,run2,overall,-1,All stage samples,214,143,1,0,70,144,70,0.6944444444444444,0.0,-1,67.28971962616822,66.82242990654206,-0.4672897196261682,1,1.0,1.0
attention_zero_L5,Attention zero L5,attention_intervention,5.0,attention_zero,full,full,run2,true_class,0,L2 Wrong hole,79,63,0,0,16,63,16,0.0,0.0,0,79.74683544303798,79.74683544303798,0.0,0,1.0,1.0
attention_zero_L5,Attention zero L5,attention_intervention,5.0,attention_zero,full,full,run2,true_class,1,L4 Changing direction,93,62,0,0,31,62,31,0.0,0.0,0,66.66666666666667,66.66666666666667,0.0,0,1.0,1.0
attention_zero_L5,Attention zero L5,attention_intervention,5.0,attention_zero,full,full,run2,true_class,2,L5 Walking,42,18,1,0,23,19,23,5.2631578947368425,0.0,-1,45.23809523809524,42.857142857142854,-2.380952380952381,1,1.0,1.0
attention_shuffle_L2,Attention shuffle L2,attention_intervention,2.0,attention_shuffle,full,full,run2,overall,-1,All stage samples,214,141,3,5,65,144,70,2.0833333333333335,7.142857142857143,2,67.28971962616822,68.22429906542057,0.9345794392523364,8,0.7265625,1.0
attention_shuffle_L2,Attention shuffle L2,attention_intervention,2.0,attention_shuffle,full,full,run2,true_class,0,L2 Wrong hole,79,62,1,4,12,63,16,1.5873015873015872,25.0,3,79.74683544303798,83.54430379746836,3.7974683544303796,5,0.375,1.0
attention_shuffle_L2,Attention shuffle L2,attention_intervention,2.0,attention_shuffle,full,full,run2,true_class,1,L4 Changing direction,93,60,2,0,31,62,31,3.225806451612903,0.0,-2,66.66666666666667,64.51612903225806,-2.150537634408602,2,0.5,1.0
attention_shuffle_L2,Attention shuffle L2,attention_intervention,2.0,attention_shuffle,full,full,run2,true_class,2,L5 Walking,42,19,0,1,22,19,23,0.0,4.3478260869565215,1,45.23809523809524,47.61904761904762,2.380952380952381,1,1.0,1.0
attention_shuffle_L3,Attention shuffle L3,attention_intervention,3.0,attention_shuffle,full,full,run2,overall,-1,All stage samples,214,142,2,1,69,144,70,1.3888888888888888,1.4285714285714286,-1,67.28971962616822,66.82242990654206,-0.4672897196261682,3,1.0,1.0
attention_shuffle_L3,Attention shuffle L3,attention_intervention,3.0,attention_shuffle,full,full,run2,true_class,0,L2 Wrong hole,79,63,0,0,16,63,16,0.0,0.0,0,79.74683544303798,79.74683544303798,0.0,0,1.0,1.0
attention_shuffle_L3,Attention shuffle L3,attention_intervention,3.0,attention_shuffle,full,full,run2,true_class,1,L4 Changing direction,93,60,2,0,31,62,31,3.225806451612903,0.0,-2,66.66666666666667,64.51612903225806,-2.150537634408602,2,0.5,1.0
attention_shuffle_L3,Attention shuffle L3,attention_intervention,3.0,attention_shuffle,full,full,run2,true_class,2,L5 Walking,42,19,0,1,22,19,23,0.0,4.3478260869565215,1,45.23809523809524,47.61904761904762,2.380952380952381,1,1.0,1.0
attention_shuffle_L5,Attention shuffle L5,attention_intervention,5.0,attention_shuffle,full,full,run2,overall,-1,All stage samples,214,140,4,2,68,144,70,2.7777777777777777,2.857142857142857,-2,67.28971962616822,66.35514018691589,-0.9345794392523364,6,0.6875,1.0
attention_shuffle_L5,Attention shuffle L5,attention_intervention,5.0,attention_shuffle,full,full,run2,true_class,0,L2 Wrong hole,79,63,0,0,16,63,16,0.0,0.0,0,79.74683544303798,79.74683544303798,0.0,0,1.0,1.0
attention_shuffle_L5,Attention shuffle L5,attention_intervention,5.0,attention_shuffle,full,full,run2,true_class,1,L4 Changing direction,93,62,0,0,31,62,31,0.0,0.0,0,66.66666666666667,66.66666666666667,0.0,0,1.0,1.0
attention_shuffle_L5,Attention shuffle L5,attention_intervention,5.0,attention_shuffle,full,full,run2,true_class,2,L5 Walking,42,15,4,2,21,19,23,21.05263157894737,8.695652173913043,-2,45.23809523809524,40.476190476190474,-4.761904761904762,6,0.6875,1.0
structure_no_conv,Full vs NoConv,structural_ablation,,baseline,full,no_conv,run2,overall,-1,All stage samples,214,95,49,24,46,144,70,34.02777777777778,34.285714285714285,-25,67.28971962616822,55.60747663551402,-11.682242990654206,73,0.004626293921895512,0.0370103513751641
structure_no_conv,Full vs NoConv,structural_ablation,,baseline,full,no_conv,run2,true_class,0,L2 Wrong hole,79,45,18,8,8,63,16,28.571428571428573,50.0,-10,79.74683544303798,67.0886075949367,-12.658227848101266,26,0.07551869750022888,0.3677432226098102
structure_no_conv,Full vs NoConv,structural_ablation,,baseline,full,no_conv,run2,true_class,1,L4 Changing direction,93,35,27,7,24,62,31,43.54838709677419,22.580645161290324,-20,66.66666666666667,45.16129032258065,-21.50537634408602,34,0.0008213953115046024,0.011499534361064434
structure_no_conv,Full vs NoConv,structural_ablation,,baseline,full,no_conv,run2,true_class,2,L5 Walking,42,15,4,9,14,19,23,21.05263157894737,39.130434782608695,5,45.23809523809524,57.142857142857146,11.904761904761905,13,0.266845703125,0.9056581439393939
structure_no_lstm,Full vs NoLSTM,structural_ablation,,baseline,full,no_lstm,run2,overall,-1,All stage samples,214,110,34,24,46,144,70,23.61111111111111,34.285714285714285,-10,67.28971962616822,62.61682242990654,-4.672897196261682,58,0.23704711476271959,0.875
structure_no_lstm,Full vs NoLSTM,structural_ablation,,baseline,full,no_lstm,run2,true_class,0,L2 Wrong hole,79,44,19,6,10,63,16,30.158730158730158,37.5,-13,79.74683544303798,63.29113924050633,-16.455696202531644,25,0.01463329792022705,0.10926195780436197
structure_no_lstm,Full vs NoLSTM,structural_ablation,,baseline,full,no_lstm,run2,true_class,1,L4 Changing direction,93,52,10,11,20,62,31,16.129032258064516,35.483870967741936,1,66.66666666666667,67.74193548387096,1.075268817204301,21,1.0,1.0
structure_no_lstm,Full vs NoLSTM,structural_ablation,,baseline,full,no_lstm,run2,true_class,2,L5 Walking,42,14,5,7,16,19,23,26.31578947368421,30.434782608695652,2,45.23809523809524,50.0,4.761904761904762,12,0.7744140625,1.0
structure_no_attention,Full vs NoAttention,structural_ablation,,baseline,full,no_attention,run2,overall,-1,All stage samples,214,105,39,22,48,144,70,27.083333333333332,31.428571428571427,-17,67.28971962616822,59.345794392523366,-7.94392523364486,61,0.03961701489849968,0.20477450812364859
structure_no_attention,Full vs NoAttention,structural_ablation,,baseline,full,no_attention,run2,true_class,0,L2 Wrong hole,79,43,20,5,11,63,16,31.746031746031747,31.25,-15,79.74683544303798,60.75949367088607,-18.9873417721519,25,0.004077315330505371,0.03512763977050781
