comparison_id,comparison_label,comparison_family,stage,true_class,true_label,transition,other_class,other_label,count,within_transition_percent
structure_no_conv,Full vs NoConv,structural_ablation,run2,0,L2 Wrong hole,CW_damage,1,L4 Changing direction,8,44.44444444444444
structure_no_conv,Full vs NoConv,structural_ablation,run2,0,L2 Wrong hole,CW_damage,2,L5 Walking,10,55.55555555555556
structure_no_conv,Full vs NoConv,structural_ablation,run2,0,L2 Wrong hole,WC_recovery,1,L4 Changing direction,5,62.5
structure_no_conv,Full vs NoConv,structural_ablation,run2,0,L2 Wrong hole,WC_recovery,2,L5 Walking,3,37.5
structure_no_conv,Full vs NoConv,structural_ablation,run2,1,L4 Changing direction,CW_damage,0,L2 Wrong hole,18,66.66666666666667
structure_no_conv,Full vs NoConv,structural_ablation,run2,1,L4 Changing direction,CW_damage,2,L5 Walking,9,33.333333333333336
structure_no_conv,Full vs NoConv,structural_ablation,run2,1,L4 Changing direction,WC_recovery,0,L2 Wrong hole,5,71.42857142857143
structure_no_conv,Full vs NoConv,structural_ablation,run2,1,L4 Changing direction,WC_recovery,2,L5 Walking,2,28.571428571428573
structure_no_conv,Full vs NoConv,structural_ablation,run2,2,L5 Walking,CW_damage,0,L2 Wrong hole,4,100.0
structure_no_conv,Full vs NoConv,structural_ablation,run2,2,L5 Walking,WC_recovery,0,L2 Wrong hole,3,33.333333333333336
structure_no_conv,Full vs NoConv,structural_ablation,run2,2,L5 Walking,WC_recovery,1,L4 Changing direction,6,66.66666666666667
structure_no_lstm,Full vs NoLSTM,structural_ablation,run2,0,L2 Wrong hole,CW_damage,1,L4 Changing direction,14,73.6842105263158
structure_no_lstm,Full vs NoLSTM,structural_ablation,run2,0,L2 Wrong hole,CW_damage,2,L5 Walking,5,26.31578947368421
structure_no_lstm,Full vs NoLSTM,structural_ablation,run2,0,L2 Wrong hole,WC_recovery,1,L4 Changing direction,6,100.0
structure_no_lstm,Full vs NoLSTM,structural_ablation,run2,1,L4 Changing direction,CW_damage,0,L2 Wrong hole,5,50.0
structure_no_lstm,Full vs NoLSTM,structural_ablation,run2,1,L4 Changing direction,CW_damage,2,L5 Walking,5,50.0
structure_no_lstm,Full vs NoLSTM,structural_ablation,run2,1,L4 Changing direction,WC_recovery,0,L2 Wrong hole,10,90.9090909090909
structure_no_lstm,Full vs NoLSTM,structural_ablation,run2,1,L4 Changing direction,WC_recovery,2,L5 Walking,1,9.090909090909092
structure_no_lstm,Full vs NoLSTM,structural_ablation,run2,2,L5 Walking,CW_damage,1,L4 Changing direction,5,100.0
structure_no_lstm,Full vs NoLSTM,structural_ablation,run2,2,L5 Walking,WC_recovery,0,L2 Wrong hole,1,14.285714285714286
structure_no_lstm,Full vs NoLSTM,structural_ablation,run2,2,L5 Walking,WC_recovery,1,L4 Changing direction,6,85.71428571428571
structure_no_attention,Full vs NoAttention,structural_ablation,run2,0,L2 Wrong hole,CW_damage,1,L4 Changing direction,13,65.0
structure_no_attention,Full vs NoAttention,structural_ablation,run2,0,L2 Wrong hole,CW_damage,2,L5 Walking,7,35.0
structure_no_attention,Full vs NoAttention,structural_ablation,run2,0,L2 Wrong hole,WC_recovery,1,L4 Changing direction,4,80.0
structure_no_attention,Full vs NoAttention,structural_ablation,run2,0,L2 Wrong hole,WC_recovery,2,L5 Walking,1,20.0
structure_no_attention,Full vs NoAttention,structural_ablation,run2,1,L4 Changing direction,CW_damage,0,L2 Wrong hole,7,43.75
structure_no_attention,Full vs NoAttention,structural_ablation,run2,1,L4 Changing direction,CW_damage,2,L5 Walking,9,56.25
structure_no_attention,Full vs NoAttention,structural_ablation,run2,1,L4 Changing direction,WC_recovery,0,L2 Wrong hole,8,80.0
structure_no_attention,Full vs NoAttention,structural_ablation,run2,1,L4 Changing direction,WC_recovery,2,L5 Walking,2,20.0
structure_no_attention,Full vs NoAttention,structural_ablation,run2,2,L5 Walking,CW_damage,0,L2 Wrong hole,1,33.333333333333336
structure_no_attention,Full vs NoAttention,structural_ablation,run2,2,L5 Walking,CW_damage,1,L4 Changing direction,2,66.66666666666667
structure_no_attention,Full vs NoAttention,structural_ablation,run2,2,L5 Walking,WC_recovery,0,L2 Wrong hole,3,42.857142857142854
structure_no_attention,Full vs NoAttention,structural_ablation,run2,2,L5 Walking,WC_recovery,1,L4 Changing direction,4,57.142857142857146
