target,target_label,outcome,metric_key,condition,architecture,architecture_label,baseline_mean,baseline_sd,perturbed_mean,perturbed_sd,delta_mean_pp,delta_sd_pp,delta_bootstrap_ci95_low_pp,delta_bootstrap_ci95_high_pp,n_folds
5,L5,Walking recall,c4,maximum,no_lstm,NoLSTM,63.377192982456144,6.385504161553326,57.15852130325815,4.394571755637454,-6.218671679197996,2.352598368089727,-8.834586466165419,-4.276315789473685,3
5,L5,Walking recall,c4,maximum,no_attention,NoAttention,69.59586466165412,17.49963657424496,60.21303258145363,15.210061068398488,-9.3828320802005,3.316328795527663,-11.74812030075188,-5.592105263157897,3
5,L5,Walking recall,c4,attention_shuffle,full,Full,65.16290726817043,5.932292808102783,61.02756892230576,7.362138724451892,-4.135338345864663,7.293832575547321,-12.359022556390975,1.5507518796992414,3
5,L5,Walking recall,c4,attention_shuffle,no_conv,NoConv,67.05827067669173,14.843748837740328,58.411654135338345,17.18197034710404,-8.646616541353382,3.691826943872619,-11.84210526315789,-4.60526315789474,3
5,L5,Walking recall,c4,attention_shuffle,no_lstm,NoLSTM,63.377192982456144,6.385504161553326,62.23370927318296,9.72555161821444,-1.143483709273184,5.646402954088135,-7.659774436090231,2.30263157894737,3
5,L5,Walking recall,c4,attention_shuffle,no_attention,NoAttention,69.59586466165412,17.49963657424496,69.59586466165412,17.49963657424496,0.0,0.0,0.0,0.0,3
5,L5,Walking recall,c4,attention_zero,full,Full,65.16290726817043,5.932292808102783,62.65664160401002,4.598144849016544,-2.5062656641604044,2.6521972447740385,-5.545112781954884,-0.6578947368421098,3
5,L5,Walking recall,c4,attention_zero,no_conv,NoConv,67.05827067669173,14.843748837740328,66.93295739348372,13.179219874451695,-0.1253132832080155,2.28594794800589,-2.30263157894737,2.255639097744364,3
5,L5,Walking recall,c4,attention_zero,no_lstm,NoLSTM,63.377192982456144,6.385504161553326,63.59649122807017,4.890906767755141,0.21929824561403422,2.591554744064357,-2.255639097744364,2.9135338345864668,3
5,L5,Walking recall,c4,attention_zero,no_attention,NoAttention,69.59586466165412,17.49963657424496,69.68984962406016,15.802545050387762,0.09398496240601635,2.212642362216836,-1.6447368421052602,2.584586466165419,3
5,L5,Walking recall,c4,random_window,full,Full,65.16290726817043,5.932292808102783,58.619423558897246,3.153994503851111,-6.54348370927318,2.8956544603313548,-8.573778195488714,-3.227631578947374,3
5,L5,Walking recall,c4,random_window,no_conv,NoConv,67.05827067669173,14.843748837740328,60.236058897243105,14.679160592979224,-6.822211779448625,0.9579577602682069,-7.751409774436084,-5.837875939849639,3
5,L5,Walking recall,c4,random_window,no_lstm,NoLSTM,63.377192982456144,6.385504161553326,58.12406015037593,4.379122821186634,-5.253132832080202,3.065976542326651,-8.399906015037587,-2.274906015037594,3
5,L5,Walking recall,c4,random_window,no_attention,NoAttention,69.59586466165412,17.49963657424496,59.922149122807014,14.502222471795974,-9.67371553884711,3.6600784244313718,-12.863251879699249,-5.6776315789473415,3
